Price,Rating,Stock,Discount,Category_A,Category_B,Category_C,Category_D,Category_UNKNOWN
5548.0,1.870322016,0.0,0.0,0,0,0,0,1
3045.0,4.757798058,0.0,38.0,0,0,0,0,1
4004.0,3.038292519111159,1.0,0.0,0,0,0,0,1
4808.0,1.492084885,0.0,33.0,0,0,0,0,1
1817.0,3.038292519111159,0.0,23.0,0,0,0,0,1
3522.0,3.038292519111159,0.0,0.0,0,0,0,0,1
667.0,3.668340748,1.0,41.0,0,0,1,0,0
7125.0,4.983998118,0.0,7.0,1,0,0,0,0
2777.0,2.678384421,1.0,6.0,1,0,0,0,0
463.0,4.626187281,0.0,3.0,0,0,0,0,1
1151.0,2.947838085,0.0,0.0,1,0,0,0,0
3772.0,4.890749963,1.0,45.0,1,0,0,0,0
7719.0,2.982241782,1.0,4.0,0,0,0,0,1
8416.0,1.270942732,0.0,29.0,0,0,1,0,0
8530.0,3.038292519111159,0.0,10.0,0,1,0,0,0
7936.0,3.032832041,1.0,44.0,1,0,0,0,0
9319.0,3.479063512,1.0,28.0,0,1,0,0,0
5016.970630372492,4.097463657,0.0,40.0,0,0,0,0,1
2066.0,3.038292519111159,0.0,30.0,0,0,0,1,0
1784.0,3.038292519111159,0.0,12.0,0,1,0,0,0
5589.0,3.038292519111159,0.0,39.0,0,0,0,0,1
5016.970630372492,3.038292519111159,0.0,25.0,0,0,1,0,0
4176.0,2.264050692,1.0,42.0,0,0,0,0,1
407.0,2.774269878,1.0,44.0,0,0,0,1,0
7011.0,3.038292519111159,1.0,38.0,0,0,0,0,1
8418.0,3.038292519111159,0.0,0.0,0,0,0,0,1
3405.0,3.038292519111159,1.0,48.0,0,0,0,0,1
1732.0,3.038292519111159,0.0,0.0,0,0,0,1,0
5850.0,2.264393101,0.0,43.0,0,1,0,0,0
5016.970630372492,2.357527106,0.0,22.0,0,0,0,0,1
704.0,3.038292519111159,1.0,47.0,0,0,0,0,1
2343.0,1.863224511,0.0,17.0,0,0,0,0,1
5016.970630372492,3.038292519111159,0.0,0.0,0,0,0,0,1
1910.0,3.849494883,0.0,14.0,0,0,0,0,1
9307.0,3.038292519111159,0.0,21.0,0,0,0,0,1
2331.0,3.952257435,0.0,43.0,0,0,0,0,1
6164.0,4.305789482,0.0,1.0,0,0,0,1,0
8060.0,1.905802489,0.0,43.0,0,1,0,0,0
5607.0,4.789502194,0.0,15.0,0,0,0,0,1
4730.0,3.038292519111159,1.0,30.0,0,0,0,0,1
9230.0,3.038292519111159,0.0,8.0,0,0,0,0,1
1112.0,3.038292519111159,1.0,38.0,0,0,0,0,1
4390.0,3.038292519111159,1.0,34.0,0,0,0,0,1
8484.0,3.038292519111159,0.0,36.0,0,0,0,0,1
6415.0,4.984170226,0.0,12.0,0,0,0,1,0
4589.0,3.038292519111159,0.0,47.0,0,0,0,0,1
2260.0,3.038292519111159,1.0,37.0,1,0,0,0,0
1759.0,4.455343994,0.0,37.0,0,0,0,0,1
7190.0,1.924305492,1.0,0.0,0,0,0,0,1
8675.0,2.778260648,0.0,0.0,0,0,0,0,1
5412.0,3.038292519111159,0.0,24.0,0,0,0,0,1
6304.0,3.038292519111159,0.0,31.0,1,0,0,0,0
9870.0,2.803686494,0.0,37.0,0,0,1,0,0
1134.0,2.886833031,1.0,15.0,0,0,1,0,0
9795.0,3.038292519111159,1.0,17.0,0,1,0,0,0
3445.0,3.038292519111159,1.0,3.0,0,1,0,0,0
8421.0,1.33825381,1.0,2.0,0,0,0,0,1
3236.0,4.951183214,0.0,2.0,0,0,0,0,1
1624.0,3.038292519111159,0.0,34.0,0,0,0,0,1
806.0,4.170806834,0.0,8.0,0,0,0,0,1
9888.0,3.038292519111159,0.0,29.0,0,0,0,0,1
8773.0,1.865998305,0.0,17.0,0,0,0,0,1
3977.0,3.038292519111159,0.0,32.0,0,0,0,1,0
2251.0,3.038292519111159,0.0,25.0,0,0,0,1,0
